"Height M","Weight kg"
1.6002,49.4415716
1.6510000000000002,62.5957512
1.6510000000000002,75.7499308
1.5303499999999999,48.9879792
1.45415,43.091278
1.60655,52.6167184
1.5621,47.9673963
1.4986000000000002,45.5860362
1.524,47.8539982
1.4795500000000001,44.4520552
1.4732,46.0396286
1.5493999999999999,53.0703108
1.5176500000000002,65.8842961
1.5367000000000002,46.0396286
1.4605000000000001,43.5448704
1.524,62.368955
1.4605000000000001,45.8128324
1.58115,74.3891536
1.524,55.565069
1.4986000000000002,46.1530267
1.4859,47.8539982
1.4795500000000001,42.1840932
1.5875,45.8128324
1.5557500000000002,44.6788514
1.58115,42.6376856
1.56845,43.5448704
1.4986000000000002,37.3079749
1.524,39.3491407
1.4414500000000001,39.0089464
1.4859,40.5965198
1.4605000000000001,38.1017616
1.4986000000000002,40.3697236
1.5557500000000002,37.1945768
1.5303499999999999,44.1118609
1.45415,33.4524395
1.6319500000000002,47.1736096
1.41605,30.0504965
1.3843,32.0916623
1.45415,34.8132167
1.50495,35.9471977
1.4859,39.9161312
1.4478,32.6586528
1.3335000000000001,30.5040889
1.36525,29.483506
1.5493999999999999,44.6788514
1.4478,34.9266148
1.4732,54.5444861
1.5875,52.5033203
1.4414500000000001,51.029145
1.6002,51.7095336
1.58115,60.3277892
1.41605,47.8539982
1.5493999999999999,69.9666277
1.6446500000000002,77.3375042
1.49225,58.2866234
1.5493999999999999,45.8128324
1.4224,47.627202
1.61925,53.0703108
1.6637000000000002,80.7394472
1.4732,45.2458419
1.49225,50.4621545
1.5303499999999999,52.9569127
1.5875,61.234974
1.5748,59.8741968
1.42875,47.9673963
1.60655,63.9565284
1.5493999999999999,46.7200172
1.4732,41.2769084
1.4986000000000002,45.35924
1.6637000000000002,57.2660405
1.4224,38.7821502
1.50495,46.9468134
1.3462,29.2567098
1.4224,35.8337996
1.4732,34.9266148
1.5176500000000002,38.555354
1.4605000000000001,40.3697236
1.4605000000000001,36.7409844
1.4224,37.1945768
1.4732,39.4625388
1.46685,36.7409844
1.5875,44.4520552
1.49225,41.6171027
1.49225,39.0089464
1.6002,41.2769084
1.4224,38.1017616
1.397,30.1638946
1.4478,38.555354
