"Strength","Temperature","Pressure","Time"
100.66666666666666,100.59,81.1,33.32
97.77777777777777,109.5,72.38,32.92
88.44444444444444,103.97999999999999,74.62,35.32
85.44444444444443,99.39000000000002,65.04,35
93.18518518518518,107.25,67.42,32.8
95.5185185185185,103.38,68.28,32.56
97.74074074074072,103.80000000000001,69.7,32.12
98.7037037037037,106.14000000000001,71.78,31.86
84.85185185185185,107.55000000000001,67.06,33.2
88.62962962962963,107.03999999999999,67.58,32.82
95.55555555555554,106.05000000000001,69.44,32.34
95.4074074074074,105.12,70.44,31.84
99,102.21000000000001,73,32.08
98.88888888888889,96.60000000000001,75.2,32.38
96.14814814814815,102.96000000000001,75.78,33.24
89.03703703703704,93.24,75.42,34.74
84.14814814814814,107.19,74,36.24
72.59259259259258,102.33,73.52,37.06
103.22222222222221,104.37,69.24,31.08
100.85185185185185,107.31,70.8,31.4
99.03703703703702,109.32,71.92,32.9
94.25925925925925,113.46000000000001,72.52,35.24
83.22222222222221,105.21000000000001,72.68,36.24
67.22222222222221,105.78,71.8,38.1
84.25925925925925,106.68,63.68,33.02
93.92592592592592,107.19,66.32,32.04
97.4074074074074,109.38,67.66,31.78
98.44444444444444,108.78,69.78,31.66
97.7037037037037,111.60000000000001,72.54,33.42
